	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0	0	20	20	20	21	23	23	18	16	24	18	23	22	26	19	21
1	20	0	22	25	23	22	22	18	25	24	24	24	24	23	17	19
2	20	22	0	21	21	20	20	20	23	26	23	23	21	21	22	24
3	20	25	21	0	22	23	24	22	21	27	21	20	23	27	23	25
4	21	23	21	22	0	22	23	22	24	27	21	20	21	27	24	26
5	23	22	20	23	22	0	1	18	27	29	25	23	24	23	17	19
6	23	22	20	24	23	1	0	18	27	28	25	22	24	22	16	18
7	18	18	20	22	22	18	18	0	21	25	16	15	15	20	12	14
8	16	25	23	21	24	27	27	21	0	25	19	26	25	22	23	25
9	24	24	26	27	27	29	28	25	25	0	26	26	20	23	23	24
10	18	24	23	21	21	25	25	16	19	26	0	14	12	22	18	20
11	23	24	23	20	20	23	22	15	26	26	14	0	14	21	18	20
12	22	24	21	23	21	24	24	15	25	20	12	14	0	22	15	17
13	26	23	21	27	27	23	22	20	22	23	22	21	22	0	21	23
14	19	17	22	23	24	17	16	12	23	23	18	18	15	21	0	2
15	21	19	24	25	26	19	18	14	25	24	20	20	17	23	2	0
